pravna_forma,nazov_meno,adresa,mesto,okres,kraj,telefonne_cislo,mail,bankove_spojenie,ico,dic
FO,ADAMKOVA MARIA,1. mája,Batizovce,Poprad,Prešovský kraj,"421,924,570,251",rhoncus.Proin.nisl@vel.com,740983445/1819,12345678,1234567891
FO,ADAMOVA HELENA,29. augusta,Bátka,Rimavská Sobota,Banskobystrický kraj,"421,988,698,935",nunc.sed.libero@primisin.edu,260527185/9188,12345679,1234567900
FO,ADAMOVICOVA SILVIA,8. mája,Bátorová,Veľký Krtíš,Banskobystrický kraj,"421,948,227,638",ac.urna.Ut@Crasvulputatevelit.com,764005807/9260,12345680,1234567909
FO,ANDRASOVA ANNA,Adámiho,Bátorove Kosihy,Komárno,Nitriansky kraj,"421,981,718,716",sem.vitae.aliquam@Vivamusnon.ca,475079481/6194,12345681,1234567918
FO,Andrejčáková  Katarína,Agátová,Bátovce,Levice,Nitriansky kraj,"421,928,523,416",elit.fermentum.risus@torquentperconubia.edu,252741480/0683,12345682,1234567927
FO,ANDROVIC PETER,Albánska,Beckov,Nové Mesto nad Váhom,Trenčiansky kraj,"421,975,134,398",velit.in.aliquet@aliquetmetusurna.com,063880486/3047,12345683,1234567936
FO,ANTOLOVA EVA,Albrechtova,Beharovce,Levoča,Prešovský kraj,"421,972,320,716",enim.Mauris@dictum.edu,716309768/4235,12345684,1234567945
FO,ANWARZAI ASSADULLAH,Alejová,Becherov,Bardejov,Prešovský kraj,"421,959,294,871",elit.elit@tristiquepharetraQuisque.edu,322389348/6895,12345685,1234567954
FO,ARENDARCIKOVA DANIELA,Alešova,Belá,Nové Zámky,Nitriansky kraj,"421,936,326,788",Phasellus@sedorcilobortis.edu,997855200/0690,12345686,1234567963
FO,BACINSKY PETER,Alstrova,Belá,Žilina,Žilinský kraj,"421,993,184,492",convallis.erat.eget@magnisdis.org,922260589/0074,12345687,1234567972
FO,BACHRATA PETRA,Alžbetínska,Belá-Dulice,Martin,Žilinský kraj,"421,958,332,345",sit.amet.consectetuer@commodoauctorvelit.org,095152965/2517,12345688,1234567981
FO,Bajačeková Elena,A. Gwerkovej,Belá nad Cirochou,Snina,Prešovský kraj,"421,954,462,115",feugiat.Sed@Fuscefeugiat.org,557177785/9915,12345689,1234567990
FO,Bakošová  Alžbeta,Ambroseho,Beladice,Zlaté Moravce,Nitriansky kraj,"421,927,442,787",nec@velitduisemper.org,462246870/0590,12345690,1234567999
FO,BALANOVA LUCIA,Ambrova,Belejovce,Svidník,Prešovský kraj,"421,969,428,475",Quisque@justofaucibus.edu,194435973/8754,12345691,1234568008
FO,BALASCAKOVA ANNA,Ambrušova,Belín,Rimavská Sobota,Banskobystrický kraj,"421,953,817,821",semper.pretium.neque@placerat.org,529545735/0457,12345692,1234568017
FO,Bálintová Eva,Amelková,Belina,Lučenec,Banskobystrický kraj,"421,913,759,548",eu.placerat@NullainterdumCurabitur.com,898604071/0143,12345693,1234568026
FO,Bálintová Mária,Americká,Belince,Topoľčany,Nitriansky kraj,"421,979,794,127",in@estvitaesodales.ca,424646348/3982,12345694,1234568035
FO,BALLAYOVA DAGMAR,Americké námestie,Bellova Ves,Dunajská Streda,Trnavský kraj,"421,966,958,201",ut@Nunc.edu,073286874/5046,12345695,1234568044
FO,BALUSIK IGOR,Amurská,Beloveža,Bardejov,Prešovský kraj,"421,966,202,107",hendrerit.a@faucibusorciluctus.ca,499284281/4850,12345696,1234568053
FO,Balušková Jana,A. Mráza,Beluj,Banská Štiavnica,Banskobystrický kraj,"421,938,499,381",mi.tempor@risus.edu,913980839/5383,12345697,1234568062
FO,Baráni Marcel,A. Plávku,Beluša,Púchov,Trenčiansky kraj,"421,992,475,930",magnis.dis.parturient@ametconsectetueradipiscing.edu,559143539/0270,12345698,1234568071
FO,BOBOVNICKY JULIUS,Andrusovova,Belža,Košice-okolie,Košický kraj,"421,997,268,207",enim.Sed.nulla@mitemporlorem.com,432580226/9275,12345699,1234568080
FO,BODENSTORFER ANDREA,Anenská,Beniakovce,Košice-okolie,Košický kraj,"421,911,438,872",fermentum.convallis@egestasSed.org,992706478/0950,12345700,1234568089
FO,BUDINSKA KATARINA,Anízová,Benice,Martin,Žilinský kraj,"421,926,476,655",ultrices.posuere@Aliquamornare.com,807906743/2999,12345701,1234568098
FO,Bujdáková Jarmila,Antická,Benkovce,Vranov nad Topľou,Prešovský kraj,"421,936,826,732",mattis@mus.edu,601786257/0478,12345702,1234568107
FO,BUJDOSO ROBERT,Antolská,Beňadiková,Liptovský Mikuláš,Žilinský kraj,"421,949,518,675",laoreet@adipiscinglobortis.edu,999689115/9018,12345703,1234568116
FO,BUJDOSOOVA VIERA,Arménska,Beňadikovce,Svidník,Prešovský kraj,"421,993,405,272",egestas.ligula.Nullam@nequeMorbiquis.edu,175956723/8108,12345704,1234568125
FO,BUKOVSKA VIERA,Astronomická,Beňadovo,Námestovo,Žilinský kraj,"421,936,735,762",orci.adipiscing@nullaIntegervulputate.org,661063863/6710,12345705,1234568134
FO,BUNOVA BARBORA,Astrová,Beňatina,Sobrance,Košický kraj,"421,920,730,570",dolor@Donectempor.com,026337026/4828,12345706,1234568143
FO,BURAN IVAN,Avarská,Beňuš,Brezno,Banskobystrický kraj,"421,902,221,689",at.auctor@Integerinmagna.org,343452117/1658,12345707,1234568152
FO,Burdová Ivana,Azalková,Bernolákovo,Senec,Bratislavský kraj,"421,958,517,979",massa.lobortis@tristique.ca,896279946/1576,12345708,1234568161
FO,Cagáňová Martina,Azovská,Bertotovce,Prešov,Prešovský kraj,"421,936,894,408",velit.eu.sem@a.com,018891057/2914,12345709,1234568170
FO,Caisová Danica,Babuškova,Beša,Levice,Nitriansky kraj,"421,964,388,272",litora@enimnislelementum.org,603200727/7445,12345710,1234568179
FO,CANKYOVA ANNA,Bagarova,Beša,Michalovce,Košický kraj,"421,965,210,745",commodo.ipsum@nequeIn.org,547161075/5494,12345711,1234568188
FO,CERVENAK MILAN,Bachova,Bešeňov,Nové Zámky,Nitriansky kraj,"421,973,377,721",magna.sed.dui@mi.ca,360906507/7628,12345712,1234568197
FO,CIBULCIK FRANTISEK,Bajkalská,Bešeňová,Ružomberok,Žilinský kraj,"421,996,259,983",ornare.tortor.at@velitegestas.com,125408624/7435,12345713,1234568206
FO,Ciburová Tatiana,Bajzova,Betlanovce,Spišská Nová Ves,Košický kraj,"421,971,406,020",elit.fermentum@quam.org,101757361/2986,12345714,1234568215
FO,CICVAK PETER,Bakošova,Betliar,Rožňava,Košický kraj,"421,947,623,373",nec.urna@Vestibulum.edu,841747572/9173,12345715,1234568224
FO,Cifra Štefan,Balkánska,Bežovce,Sobrance,Košický kraj,"421,955,229,495",facilisis.non@diamnuncullamcorper.org,099136379/8973,12345716,1234568233
FO,CIFRAKOVA ZLATICA,Baltská,Bidovce,Košice-okolie,Košický kraj,"421,996,870,877",Donec.tincidunt@blanditatnisi.ca,453912841/2895,12345717,1234568242
FO,CIGLANSKA EVA,Bancíkovej,Biel,Trebišov,Košický kraj,"421,939,525,831",ad.litora.torquent@VivamusrhoncusDonec.edu,956006751/3523,12345718,1234568251
FO,CIMPRICHOVA ANDREA,Banícka,Bielovce,Levice,Nitriansky kraj,"421,936,750,106",elit@bibendumDonec.ca,814308259/0056,12345719,1234568260
FO,Cingelová Miriam,Baničova,Biely Kostol,Trnava,Trnavský kraj,"421,901,868,295",Maecenas@tortornibhsit.org,499196167/9002,12345720,1234568269
FO,CISAROVA NATALIA,Baníkova,Bijacovce,Levoča,Prešovský kraj,"421,949,452,386",auctor.vitae@augue.ca,161134562/5495,12345721,1234568278
FO,CUCHRAN PETER,Banskobystrická,Bílkove Humence,Senica,Trnavský kraj,"421,975,661,824",egestas@felis.com,397306321/2533,12345722,1234568287
FO,CUNINKOVA MARIA,Banšelova,Bíňa,Nové Zámky,Nitriansky kraj,"421,945,789,778",arcu.vel.quam@maurisMorbi.com,707313943/8034,12345723,1234568296
FO,CVIRKOVA GABRIELA,Bardejovská,Bíňovce,Trnava,Trnavský kraj,"421,938,973,811",amet@sedsem.com,655404006/9885,12345724,1234568305
FO,CZOKOLY VOJTECH ml.,Bárdošova,Biskupice,Lučenec,Banskobystrický kraj,"421,949,334,258",congue@accumsanneque.ca,006735224/0674,12345725,1234568314
FO,CZOVEKOVA EVA,Barónka,Biskupová,Topoľčany,Nitriansky kraj,"421,907,565,938",velit@rutrummagna.com,614982326/6410,12345726,1234568323
